PyECLOUD Version 8.6.0
git hash: b'4069f92c1befdc7e1ff787b95aa81c111f73ff56'
git branch: b'master'
Simulation started on 20 Mar 2022 13:24:47
Initialization finished on 20 Mar 2022 13:25:40
20 Mar 2022 13:29:41 pass. 223/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:42 pass. 224/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:44 pass. 225/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:45 pass. 226/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:46 pass. 227/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:47 pass. 228/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:48 pass. 229/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:49 pass. 230/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:51 pass. 231/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:52 pass. 232/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:53 pass. 233/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:54 pass. 234/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:55 pass. 235/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:56 pass. 236/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:57 pass. 237/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:29:59 pass. 238/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:00 pass. 239/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:01 pass. 240/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:02 pass. 241/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:03 pass. 242/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:04 pass. 243/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:06 pass. 244/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:07 pass. 245/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:08 pass. 246/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:09 pass. 247/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:10 pass. 248/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:11 pass. 249/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:13 pass. 250/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:14 pass. 251/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:15 pass. 252/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:16 pass. 253/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:17 pass. 254/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:18 pass. 255/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:19 pass. 256/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:21 pass. 257/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:22 pass. 258/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:23 pass. 259/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:24 pass. 260/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:25 pass. 261/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:26 pass. 262/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
20 Mar 2022 13:30:28 pass. 263/321, cloud=default: Nel_tot=0.000000e+00 N_mp=0
